Kategori: Nyheter

Tid,Geo: New Zealand
2021-12-31T12:00:00+02:00,27
2021-12-31T12:08:00+02:00,25
2021-12-31T12:16:00+02:00,26
2021-12-31T12:24:00+02:00,19
2021-12-31T12:32:00+02:00,28
2021-12-31T12:40:00+02:00,31
2021-12-31T12:48:00+02:00,0
2021-12-31T12:56:00+02:00,39
2021-12-31T13:04:00+02:00,9
2021-12-31T13:12:00+02:00,18
2021-12-31T13:20:00+02:00,22
2021-12-31T13:28:00+02:00,13
2021-12-31T13:36:00+02:00,20
2021-12-31T13:44:00+02:00,15
2021-12-31T13:52:00+02:00,8
2021-12-31T14:00:00+02:00,25
2021-12-31T14:08:00+02:00,13
2021-12-31T14:16:00+02:00,10
2021-12-31T14:24:00+02:00,0
2021-12-31T14:32:00+02:00,8
2021-12-31T14:40:00+02:00,0
2021-12-31T14:48:00+02:00,12
2021-12-31T14:56:00+02:00,9
2021-12-31T15:04:00+02:00,11
2021-12-31T15:12:00+02:00,7
2021-12-31T15:20:00+02:00,6
2021-12-31T15:28:00+02:00,11
2021-12-31T15:36:00+02:00,5
2021-12-31T15:44:00+02:00,9
2021-12-31T15:52:00+02:00,3
2021-12-31T16:00:00+02:00,0
2021-12-31T16:08:00+02:00,4
2021-12-31T16:16:00+02:00,0
2021-12-31T16:24:00+02:00,7
2021-12-31T16:32:00+02:00,0
2021-12-31T16:40:00+02:00,3
2021-12-31T16:48:00+02:00,8
2021-12-31T16:56:00+02:00,8
2021-12-31T17:04:00+02:00,0
2021-12-31T17:12:00+02:00,19
2021-12-31T17:20:00+02:00,3
2021-12-31T17:28:00+02:00,6
2021-12-31T17:36:00+02:00,0
2021-12-31T17:44:00+02:00,6
2021-12-31T17:52:00+02:00,6
2021-12-31T18:00:00+02:00,0
2021-12-31T18:08:00+02:00,6
2021-12-31T18:16:00+02:00,0
2021-12-31T18:24:00+02:00,11
2021-12-31T18:32:00+02:00,13
2021-12-31T18:40:00+02:00,8
2021-12-31T18:48:00+02:00,8
2021-12-31T18:56:00+02:00,13
2021-12-31T19:04:00+02:00,0
2021-12-31T19:12:00+02:00,10
2021-12-31T19:20:00+02:00,18
2021-12-31T19:28:00+02:00,30
2021-12-31T19:36:00+02:00,15
2021-12-31T19:44:00+02:00,16
2021-12-31T19:52:00+02:00,19
2021-12-31T20:00:00+02:00,33
2021-12-31T20:08:00+02:00,20
2021-12-31T20:16:00+02:00,23
2021-12-31T20:24:00+02:00,24
2021-12-31T20:32:00+02:00,36
2021-12-31T20:40:00+02:00,34
2021-12-31T20:48:00+02:00,31
2021-12-31T20:56:00+02:00,36
2021-12-31T21:04:00+02:00,41
2021-12-31T21:12:00+02:00,49
2021-12-31T21:20:00+02:00,60
2021-12-31T21:28:00+02:00,62
2021-12-31T21:36:00+02:00,49
2021-12-31T21:44:00+02:00,53
2021-12-31T21:52:00+02:00,77
2021-12-31T22:00:00+02:00,74
2021-12-31T22:08:00+02:00,78
2021-12-31T22:16:00+02:00,71
2021-12-31T22:24:00+02:00,73
2021-12-31T22:32:00+02:00,82
2021-12-31T22:40:00+02:00,83
2021-12-31T22:48:00+02:00,86
2021-12-31T22:56:00+02:00,74
2021-12-31T23:04:00+02:00,74
2021-12-31T23:12:00+02:00,100
2021-12-31T23:20:00+02:00,55
2021-12-31T23:28:00+02:00,70
2021-12-31T23:36:00+02:00,61
2021-12-31T23:44:00+02:00,69
2021-12-31T23:52:00+02:00,70
2022-01-01T00:00:00+02:00,50
2022-01-01T00:08:00+02:00,65
2022-01-01T00:16:00+02:00,52
2022-01-01T00:24:00+02:00,66
2022-01-01T00:32:00+02:00,71
2022-01-01T00:40:00+02:00,58
2022-01-01T00:48:00+02:00,54
2022-01-01T00:56:00+02:00,39
2022-01-01T01:04:00+02:00,58
2022-01-01T01:12:00+02:00,41
2022-01-01T01:20:00+02:00,55
2022-01-01T01:28:00+02:00,56
2022-01-01T01:36:00+02:00,55
2022-01-01T01:44:00+02:00,49
2022-01-01T01:52:00+02:00,61
2022-01-01T02:00:00+02:00,47
2022-01-01T02:08:00+02:00,57
2022-01-01T02:16:00+02:00,51
2022-01-01T02:24:00+02:00,64
2022-01-01T02:32:00+02:00,59
2022-01-01T02:40:00+02:00,49
2022-01-01T02:48:00+02:00,39
2022-01-01T02:56:00+02:00,58
2022-01-01T03:04:00+02:00,64
2022-01-01T03:12:00+02:00,43
2022-01-01T03:20:00+02:00,63
2022-01-01T03:28:00+02:00,61
2022-01-01T03:36:00+02:00,42
2022-01-01T03:44:00+02:00,41
2022-01-01T03:52:00+02:00,39
2022-01-01T04:00:00+02:00,55
2022-01-01T04:08:00+02:00,47
2022-01-01T04:16:00+02:00,45
2022-01-01T04:24:00+02:00,35
2022-01-01T04:32:00+02:00,29
2022-01-01T04:40:00+02:00,47
2022-01-01T04:48:00+02:00,59
2022-01-01T04:56:00+02:00,60
2022-01-01T05:04:00+02:00,47
2022-01-01T05:12:00+02:00,49
2022-01-01T05:20:00+02:00,59
2022-01-01T05:28:00+02:00,22
2022-01-01T05:36:00+02:00,38
2022-01-01T05:44:00+02:00,54
2022-01-01T05:52:00+02:00,32
2022-01-01T06:00:00+02:00,59
2022-01-01T06:08:00+02:00,61
2022-01-01T06:16:00+02:00,51
2022-01-01T06:24:00+02:00,55
2022-01-01T06:32:00+02:00,41
2022-01-01T06:40:00+02:00,40
2022-01-01T06:48:00+02:00,62
2022-01-01T06:56:00+02:00,46
2022-01-01T07:04:00+02:00,54
2022-01-01T07:12:00+02:00,41
2022-01-01T07:20:00+02:00,37
2022-01-01T07:28:00+02:00,58
2022-01-01T07:36:00+02:00,38
2022-01-01T07:44:00+02:00,45
2022-01-01T07:52:00+02:00,34
2022-01-01T08:00:00+02:00,36
2022-01-01T08:08:00+02:00,65
2022-01-01T08:16:00+02:00,48
2022-01-01T08:24:00+02:00,44
2022-01-01T08:32:00+02:00,54
2022-01-01T08:40:00+02:00,44
2022-01-01T08:48:00+02:00,61
2022-01-01T08:56:00+02:00,56
2022-01-01T09:04:00+02:00,32
2022-01-01T09:12:00+02:00,46
2022-01-01T09:20:00+02:00,37
2022-01-01T09:28:00+02:00,36
2022-01-01T09:36:00+02:00,41
2022-01-01T09:44:00+02:00,39
2022-01-01T09:52:00+02:00,35
2022-01-01T10:00:00+02:00,37
2022-01-01T10:08:00+02:00,46
2022-01-01T10:16:00+02:00,34
2022-01-01T10:24:00+02:00,58
2022-01-01T10:32:00+02:00,46
2022-01-01T10:40:00+02:00,34
2022-01-01T10:48:00+02:00,32
2022-01-01T10:56:00+02:00,49
2022-01-01T11:04:00+02:00,59
2022-01-01T11:12:00+02:00,45
2022-01-01T11:20:00+02:00,39
2022-01-01T11:28:00+02:00,26
2022-01-01T11:36:00+02:00,31
2022-01-01T11:44:00+02:00,36
2022-01-01T11:52:00+02:00,32
2022-01-01T12:00:00+02:00,46
2022-01-01T12:08:00+02:00,31
2022-01-01T12:16:00+02:00,33
2022-01-01T12:24:00+02:00,22
2022-01-01T12:32:00+02:00,15
2022-01-01T12:40:00+02:00,19
2022-01-01T12:48:00+02:00,0
2022-01-01T12:56:00+02:00,12
2022-01-01T13:04:00+02:00,13
2022-01-01T13:12:00+02:00,7
2022-01-01T13:20:00+02:00,9
2022-01-01T13:28:00+02:00,16
2022-01-01T13:36:00+02:00,7
2022-01-01T13:44:00+02:00,0
2022-01-01T13:52:00+02:00,14
2022-01-01T14:00:00+02:00,0
2022-01-01T14:08:00+02:00,6
2022-01-01T14:16:00+02:00,4
2022-01-01T14:24:00+02:00,0
2022-01-01T14:32:00+02:00,0
2022-01-01T14:40:00+02:00,0
2022-01-01T14:48:00+02:00,11
2022-01-01T14:56:00+02:00,0
2022-01-01T15:04:00+02:00,5
2022-01-01T15:12:00+02:00,0
2022-01-01T15:20:00+02:00,4
2022-01-01T15:28:00+02:00,0
2022-01-01T15:36:00+02:00,0
2022-01-01T15:44:00+02:00,0
2022-01-01T15:52:00+02:00,0
2022-01-01T16:00:00+02:00,0
2022-01-01T16:08:00+02:00,10
2022-01-01T16:16:00+02:00,0
2022-01-01T16:24:00+02:00,7
2022-01-01T16:32:00+02:00,5
2022-01-01T16:40:00+02:00,0
2022-01-01T16:48:00+02:00,7
2022-01-01T16:56:00+02:00,0
2022-01-01T17:04:00+02:00,0
2022-01-01T17:12:00+02:00,6
2022-01-01T17:20:00+02:00,0
2022-01-01T17:28:00+02:00,0
2022-01-01T17:36:00+02:00,0
2022-01-01T17:44:00+02:00,0
2022-01-01T17:52:00+02:00,4
2022-01-01T18:00:00+02:00,5
2022-01-01T18:08:00+02:00,0
2022-01-01T18:16:00+02:00,0
2022-01-01T18:24:00+02:00,0
2022-01-01T18:32:00+02:00,0
